Airport,search_intensity,year,week
JFK,63,2011,52
LGA,63,2011,52
EWR,63,2011,52
ORD,63,2011,52
LAS,63,2011,52
DEN,53,2011,52
ATL,47,2011,52
SFO,67,2011,52
IAH,96,2011,52
LAX,41,2011,52
DFW,43,2011,52
SEA,37,2011,52
PHL,54,2011,52
MIA,64,2011,52
DTW,44,2011,52
BOS,44,2011,52
MSP,79,2011,52
CLT,30,2011,52
PHX,25,2011,52
MCO,59,2011,52
JFK,81,2011,1
LGA,81,2011,1
EWR,81,2011,1
ORD,72,2011,1
LAS,70,2011,1
DEN,83,2011,1
ATL,100,2011,1
SFO,46,2011,1
IAH,81,2011,1
LAX,34,2011,1
DFW,76,2011,1
SEA,73,2011,1
PHL,57,2011,1
MIA,67,2011,1
DTW,66,2011,1
BOS,71,2011,1
MSP,53,2011,1
CLT,100,2011,1
PHX,30,2011,1
MCO,93,2011,1
JFK,63,2011,2
LGA,63,2011,2
EWR,63,2011,2
ORD,54,2011,2
LAS,72,2011,2
DEN,53,2011,2
ATL,38,2011,2
SFO,58,2011,2
IAH,62,2011,2
LAX,31,2011,2
DFW,43,2011,2
SEA,57,2011,2
PHL,74,2011,2
MIA,69,2011,2
DTW,51,2011,2
BOS,48,2011,2
MSP,76,2011,2
CLT,40,2011,2
PHX,26,2011,2
MCO,52,2011,2
JFK,96,2011,3
LGA,96,2011,3
EWR,96,2011,3
ORD,63,2011,3
LAS,72,2011,3
DEN,65,2011,3
ATL,33,2011,3
SFO,51,2011,3
IAH,63,2011,3
LAX,27,2011,3
DFW,55,2011,3
SEA,60,2011,3
PHL,67,2011,3
MIA,68,2011,3
DTW,34,2011,3
BOS,58,2011,3
MSP,34,2011,3
CLT,31,2011,3
PHX,22,2011,3
MCO,68,2011,3
JFK,72,2011,4
LGA,72,2011,4
EWR,72,2011,4
ORD,94,2011,4
LAS,81,2011,4
DEN,53,2011,4
ATL,39,2011,4
SFO,88,2011,4
IAH,94,2011,4
LAX,25,2011,4
DFW,100,2011,4
SEA,50,2011,4
PHL,62,2011,4
MIA,62,2011,4
DTW,67,2011,4
BOS,68,2011,4
MSP,72,2011,4
CLT,50,2011,4
PHX,24,2011,4
MCO,61,2011,4
JFK,58,2011,5
LGA,58,2011,5
EWR,58,2011,5
ORD,48,2011,5
LAS,75,2011,5
DEN,44,2011,5
ATL,32,2011,5
SFO,75,2011,5
IAH,58,2011,5
LAX,29,2011,5
DFW,48,2011,5
SEA,44,2011,5
PHL,25,2011,5
MIA,52,2011,5
DTW,50,2011,5
BOS,30,2011,5
MSP,53,2011,5
CLT,19,2011,5
